5c495110d50aa425309f2da6;Commission des normes, de l'équité, de la santé et de la sécurité du travail
5c495111d50aa425309f2dac;Union des travailleurs et travailleuses accidenté(e)s de Montréal
5c495113d50aa425309f2db1;Fondation pour l’aide aux travailleurs (ses) accidenté (es)
5c495113d50aa425309f2db2;Société de l’assurance automobile du Québec
5c495113d50aa425309f2db8;Société de l’assurance automobile du Québec
5c495113d50aa425309f2dbe;Fondation des accidenté(e)s de la route
5c495113d50aa425309f2dc0;Centre local d’emploi de Côte-des-Neiges
5c495113d50aa425309f2dbf;Direction régionale d'Emploi-Québec
5c495113d50aa425309f2dc1;Centre local d’emploi de Saint-Laurent
5c495113d50aa425309f2dc2;Centre de services spécialisés de l’ouest (Social Solidarity recipients)
5c495113d50aa425309f2dc3;(Comité des personnes assistées sociales)
5c495113d50aa425309f2dc9;(Organisation d’aide aux sans-emploi)
5c495113d50aa425309f2dce;Regroupement Montréal (Organisation populaire des droits sociaux)
5c495113d50aa425309f2dcf;Maison Aline Gendron
5c495113d50aa425309f2dd0;Maison Marie Jeanne Corbeil
5c495113d50aa425309f2dd1;St-Columba House - Welfare Rights
5c495113d50aa425309f2dd2;BRAS Villeray (Bureau de resources des assisté.e.s sociaux)
5c495113d50aa425309f2dd3;ACEF de l’Est de Montréal
5c495113d50aa425309f2dd8;ACEF du Nord de Montréal
5c495113d50aa425309f2ddd;ACEF de l’Sud-Ouest de Montréal : Pour résidents de CDN/NDG
5c495113d50aa425309f2de2;Option consommateurs
5c495113d50aa425309f2de3;Syndics de faillite
5c495113d50aa425309f2de4;Syndics de faillite
5c495113d50aa425309f2de5;Syndics de faillite
5c495113d50aa425309f2de6;Office de la protection du consommateur
5c495113d50aa425309f2de7;Automobilist Protection Agency (APA)
5c495113d50aa425309f2ded;Gaz Métro
5c495113d50aa425309f2dee;Commissioner for Complaints for Telecommunication Services
5c495113d50aa425309f2def;Ombudsman des services bancaires et d'investissement
5c495113d50aa425309f2df0;Ombudservice for Life and Health Insurance
5c495113d50aa425309f2df1;Service de conciliation en assurance de dommage
5c495113d50aa425309f2df2;FCAC - Financial Consumer Agency of Canada
5c495113d50aa425309f2df3;Autorité des marches financiers
5c495113d50aa425309f2df4;Organisme d’autoréglementation du courtage immobilier du Quebec
5c495113d50aa425309f2df5;Mutual Fund Dealers Association of Canada
5c495113d50aa425309f2df6;Anti-Fraud Centre
5c495113d50aa425309f2dfc;Bureau de la concurrence
5c495113d50aa425309f2e02;Association de la communauté noire
5c495113d50aa425309f2e03;Centre d'amitié autochtone de Montréal
5c495113d50aa425309f2e09;Centre Multi-Ethnique
5c495113d50aa425309f2e0f;Service à la famille chinoise du Grand Montréal
5c495113d50aa425309f2e16;Communauté hellénique de Montréal
5c495113d50aa425309f2e17;Communauté vietnamienne au Canada
5c495113d50aa425309f2e18;Entraide ukrainienne de Montréal
5c495113d50aa425309f2e19;Association Québec Ile Maurice (AQIM)
5c495113d50aa425309f2e1a;Fédération CJA (Combined Jewish Appeal)
5c495113d50aa425309f2e1b;Jamaican Association of Montréal
5c495113d50aa425309f2e1c;SIARI (Service d’interprète, d’aide et de référence aux immigrants)
5c495113d50aa425309f2e22;South Asian Women's Community Centre
5c495113d50aa425309f2e23;Société Internationale du Bangladesh
5c495113d50aa425309f2e24;Head and Hands
5c495113d50aa425309f2e25;Multi-Caf
5c495113d50aa425309f2e29;Dépôt Alimentaire NDG
5c495113d50aa425309f2e2f;MADA (Kosher)
5c495113d50aa425309f2e35;Jamaica Association
5c495113d50aa425309f2e3b;Carrefour d'entraide Lachine
5c495113d50aa425309f2e41;Chez Doris
5c495113d50aa425309f2e49;Dans la Rue
5c495113d50aa425309f2e4a;Jeunesse au soleil
5c495113d50aa425309f2e4b;Mission Old Brewery
5c495113d50aa425309f2e4c;Mission Saint-Michel
5c495113d50aa425309f2e4d;Relais Communautaire de Laval
5c495113d50aa425309f2e4e;Armée du Salut
5c495113d50aa425309f2e4f;Armée du Salut - Hochelaga-Maisonneuve
5c495113d50aa425309f2e56;Armée du Salut - Notre Dame de Grace
5c495113d50aa425309f2e5d;Armée du Salut - Notre Dame
5c495113d50aa425309f2e64;Armée du Salut - Plaza Saint-Hubert
5c495113d50aa425309f2e6b;Le Support (Fondation de la déficience intellectuelle)
5c495113d50aa425309f2e6c;MADA
5c495113d50aa425309f2e6d;Renaissance – Côte-des-Neiges
5c495113d50aa425309f2e75;Renaissance - Siege Social
5c495113d50aa425309f2e7d;Société Saint-Vincent de Paul
5c495113d50aa425309f2e83;Commission des normes du travail
5c495113d50aa425309f2e89;Au bas de l’échelle
5c495113d50aa425309f2e8e;CTI (Centre des travailleurs et travailleuses immigrants)
5c495113d50aa425309f2e93;Association des aides familiales du Québec
5c495113d50aa425309f2e98;PINAY (Filipino Workers Association)
5c495113d50aa425309f2e99;STELLA (Community Organization for Sex Workers)
5c495113d50aa425309f2e9e;CDEC Côte-des-Neiges
5c495113d50aa425309f2ea4;Youth Employment Services (Small Business counselling open to all ages)
5c495113d50aa425309f2ea5;ALAC (Alliance pour l'accueil et l'intégration des immigrant(e)s)
5c495113d50aa425309f2ea6;Carrefour jeunesse emploi (16-35 Ans)
5c495113d50aa425309f2eac;Centre de recherche d’emploi de Côte-Des-Neiges
5c495113d50aa425309f2eb2;CLAM (Carrefour de liaison et d’aide multiethnique)
5c495113d50aa425309f2eb8;Collectif des femmes immigrantes
5c495113d50aa425309f2eb9;Collectif des femmes immigrantes
5c495113d50aa425309f2ebf;Agence OMETZ
5c495113d50aa425309f2ec5;Emploi Québec
5c495113d50aa425309f2eca;Hirondelle (Services d'Accueil et d'Intégration des Immigrants)
5c495113d50aa425309f2ed0;Petites Mains (formation en couture industrielle)
5c495113d50aa425309f2ed1;Centre Service Canada
5c495113d50aa425309f2ed7;Downtown office
5c495113d50aa425309f2edd;Comité chômage de Montréal
5c495113d50aa425309f2ee3;Comité chômage Est de Montréal
5c495113d50aa425309f2ee7;Mouvement action chômage
5c495113d50aa425309f2eeb;Mouvement action chômage Longueuil
5c495113d50aa425309f2eec;Soutien aux enfants
5c495113d50aa425309f2eed;Prestation fiscale canadienne pour enfants (PFCE)
5c495113d50aa425309f2eee;Prime au travail
5c495113d50aa425309f2eef;Crédit d’impôt pour frais de garde
5c495113d50aa425309f2ef5;Allocation logement
5c495113d50aa425309f2ef6;Directeur de l'État civil
5c495113d50aa425309f2efc;Ministère de la famille et de l’enfance
5c495113d50aa425309f2efd;Régime québécois d’assurance parentale / QPIP
5c495113d50aa425309f2efe;AMAL Women Centre (Centre for Muslim Women)
5c495114d50aa425309f2f03;Centre des femmes de Montréal - Women’s Centre of Montreal
5c495114d50aa425309f2f09;Centre des femmes d’ici et d’ailleurs
5c495114d50aa425309f2f0a;Femmes du monde à Côte-Des-Neiges
5c495114d50aa425309f2f0f;Centre des victimes d’agression sexuelle de Montréal
5c495114d50aa425309f2f10;Projet Chance (pour mères célibataires qui sont étudiantes à plein temps)
5c495114d50aa425309f2f11;SOS Violence conjugale
5c495114d50aa425309f2f12;Auberge Shalom
5c495114d50aa425309f2f13;La Mission Bon Accueil
5c495114d50aa425309f2f14;Centre d’immigration Canada
5c495114d50aa425309f2f1a;Immigration Québec – MIDI
5c495114d50aa425309f2f1b;Pour transmettre des documents relatifs aux services de la francisation :
5c495114d50aa425309f2f1c;MIDI Siège social
5c495114d50aa425309f2f1d;Bureau des passeports
5c495114d50aa425309f2f23;Bureau des passeports
5c495114d50aa425309f2f29;Multi-Écoute (Help filling out passport applications- $10/form)
5c495114d50aa425309f2f2a;ALAC
5c495114d50aa425309f2f2b;ALPA (Accueil liaison pour arrivants)
5c495114d50aa425309f2f31;CARI (Centre d’accueil et de référence pour immigrants)
5c495114d50aa425309f2f37;CLAM (Carrefour de liaison et d’aide multi-ethnique)
5c495114d50aa425309f2f3d;CSAI (Centre social d’aide aux immigrants)
5c495114d50aa425309f2f43;CSAI (Centre social d’aide aux immigrants)
5c495114d50aa425309f2f49;La Maisonnée
5c495114d50aa425309f2f55;PROMIS (Promotion multiculture intégration société nouvelle)
5c495114d50aa425309f2f4f;L’Hirondelle
5c495114d50aa425309f2f5b;SIARI (Service d’interprète, d’aide et de référence aux immigrants)
5c495114d50aa425309f2f5c;PRAIDA (Programme régional d’aide aux demandeurs d’asile)
5c495114d50aa425309f2f5d;Solidarity Across Borders
5c495114d50aa425309f2f5e;Agence du revenu du Canada
5c495114d50aa425309f2f5f;Revenu Québec
